Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
lished/VBD that/IN the/DT |    Berliner/NN->NNP    | patent/NN caveat/NN was/V
NN was/VBD registered/VBN |    *-145/NN->-NONE-    | 10/CD days/NNS before/IN 
ation/NN *T*-1/-NONE- ,/, |    Western/JJ->NNP     | Union/NNP dropped/VBD the
*-2/-NONE- never/RB to/TO |      enter/NN->VB      | the/DT telephone/NN busin
               Oliver/NNP |    Berliner/NN->NNP    | Beverly/NNP Hills/NNP ,/,
  Oliver/NNP Berliner/NNP |    Beverly/NN->NNP     | Hills/NNP ,/, Calif/NNP .
                          |    Troubled/NN->NNP    | NBI/NNP Inc./NNP said/VBD
             Troubled/NNP |      NBI/NN->NNP       | Inc./NNP said/VBD 0/-NONE
ired/VBD more/JJR than/IN |      half/DT->PDT      | its/PRP$ work/NN force/NN
NN force/NN and/CC is/VBZ | discontinuing/NN->VBG  | its/PRP$ hardware/NN busi
iness/NN *-1/-NONE- to/TO |      focus/NN->VB      | on/IN its/PRP$ software/N
 company/NN ,/, which/WDT |   *T*-236/NN->-NONE-   | has/VBZ reported/VBN net/
r/IN 16/CD consecutive/JJ |    quarters/NN->NNS    | ,/, said/VBD 0/-NONE- it/
N computer/NN systems/NNS |       any/DT->RB       | more/JJR and/CC will/MD g
ter/NN systems/NNS any/RB |     more/RBR->JJR      | and/CC will/MD greatly/RB
                          |   Altogether/NN->RB    | ,/, NBI/NNP said/VBD 0/-N
        Altogether/RB ,/, |      NBI/NN->NNP       | said/VBD 0/-NONE- it/PRP 
D jobs/NNS at/IN its/PRP$ |    Boulder/NN->NNP     | headquarters/NN ,/, 176/C
dian/JJ and/CC United/NNP |    Kingdom/NN->NNP     | headquarters/NN ./.
 work/NN force/NN will/MD |      fall/NN->VB       | to/TO about/IN 400/CD peo
/NN will/MD fall/VB to/TO |      about/RB->IN      | 400/CD people/NNS ./.
       Stephen/NNP G./NNP |    Jerritts/NN->NNP    | ,/, president/NN and/CC c
lling/JJ *-1/-NONE- to/TO |     commit/NN->VB      | to/TO an/DT expensive/JJ 
 to/TO an/DT expensive/JJ |      NBI/NN->NNP       | hardware/NN systems/NNS b
                          |     Further/NN->RB     | ,/, he/PRP said/VBD 0/-NO
have/VB the/DT capital/NN |    needed/VBD->VBN     | */-NONE- */-NONE- to/TO b
             ``/`` We/PRP |      flat/JJ->RB       | ran/VBD out/IN of/IN fina
`` We/PRP flat/RB ran/VBD |       out/RP->IN       | of/IN financing/NN resour
ces/NNS ,/, ''/'' Mr./NNP |    Jerritts/NN->NNP    | said/VBD *T*-1/-NONE- ./.
 to/TO do/VB something/NN |  structurally/NN->RB   | and/CC radically/RB diffe
NN structurally/RB and/CC |    radically/NN->RB    | different/JJ ./. ''/''
 he/PRP said/VBD 0/-NONE- |      NBI/NN->NNP       | will/MD focus/VB on/IN */
 0/-NONE- NBI/NNP will/MD |      focus/NN->VB      | on/IN */-NONE- servicing/
D focus/VB on/IN */-NONE- |   servicing/NN->VBG    | its/PRP$ installed/VBN ba
s/NNS called/VBN */-NONE- |     Legend/NN->NNP     | ./.
 company/NN ,/, which/WDT |   *T*-237/NN->-NONE-   | recently/RB said/VBD 0/-N
 said/VBD 0/-NONE- it/PRP |     lacked/NN->VBD     | the/DT profits/NNS and/CC
idends/NNS on/IN its/PRP$ |     Series/NN->NNP     | A/NNP convertible/JJ pref
on/IN its/PRP$ Series/NNP |       A/DT->NNP        | convertible/JJ preferred/
D 0/-NONE- it/PRP has/VBZ |     hired/NN->VBN      | an/DT investment/NN banke
ading/NN yesterday/NN ,/, |      NBI/NN->NNP       | common/NN closed/VBD at/I
 yesterday/NN ,/, NBI/NNP |     common/JJ->NN      | closed/VBD at/IN 93/CD ce
nts/NNS a/DT share/NN ,/, |       up/RB->IN        | 31/CD cents/NNS ./.
t/PRP was/VBD Richard/NNP |     Nixon/NN->NNP      | 's/POS first/JJ visit/NN 
NP in/IN 1972/CD that/WDT |   *T*-238/NN->-NONE-   | set/VBD in/IN motion/NN t
D that/WDT *T*-238/-NONE- |      set/VBN->VBD      | in/IN motion/NN the/DT hi
BD in/IN motion/NN the/DT |    historic/NN->JJ     | rapprochement/NN between/
uring/IN which/WDT he/PRP |     spoke/NN->VBD      | at/IN length/NN with/IN C
D at/IN length/NN with/IN |     Chinese/NN->JJ     | leaders/NNS *T*-1/-NONE- 
 *T*-1/-NONE- ,/, was/VBD |     nowhere/NN->RB     | near/JJ as/IN successful/
E- ,/, was/VBD nowhere/RB |      near/IN->JJ       | as/IN successful/JJ at/IN
cessful/JJ at/IN */-NONE- |     easing/NN->VBG     | strains/NNS that/WDT *T*-
at/IN */-NONE- easing/VBG |    strains/NN->NNS     | that/WDT *T*-239/-NONE- h
/VBG strains/NNS that/WDT |   *T*-239/NN->-NONE-   | have/VBP recently/RB affl
ONE- have/VBP recently/RB |   afflicted/NN->VBN    | the/DT Sino-U.S./NNP rela
y/RB afflicted/VBN the/DT |   Sino-U.S./NN->NNP    | relationship/NN ./.
                  Mr./NNP |     Nixon/NN->NNP      | ,/, the/DT most/RBS promi
/DT most/RBS prominent/JJ |    American/JJ->NNP    | 0/-NONE- *T*-1/-NONE- to/
nce/IN Beijing/NNP 's/POS |     bloody/NN->JJ      | suppression/NN of/IN pro-
y/JJ suppression/NN of/IN |  pro-democracy/NN->JJ  | demonstrators/NNS in/IN J
NN of/IN pro-democracy/JJ | demonstrators/NN->NNS  | in/IN June/NNP ,/, harped
rs/NNS in/IN June/NNP ,/, |     harped/NN->VBD     | on/IN international/JJ ou
                   The/DT |    Chinese/NN->NNP     | ,/, in/IN turn/NN ,/, too
n/IN turn/NN ,/, took/VBD |       aim/VB->NN       | at/IN American/JJ ``/`` i
                   One/CD |    official/NN->JJ     | newspaper/NN ,/, Legal/NN
icial/JJ newspaper/NN ,/, |     Legal/NN->NNP      | Daily/NNP ,/, even/RB dir
RB criticized/VBD Mr./NNP |     Nixon/NN->NNP      | ,/, who/WP *T*-240/-NONE-
/NNP Nixon/NNP ,/, who/WP |   *T*-240/NN->-NONE-   | is/VBZ normally/RB referr
/WP *T*-240/-NONE- is/VBZ |    normally/NN->RB     | referred/VBN to/TO *T*-1/
          The/DT paper/NN |    accused/VBN->VBD    | him/PRP of/IN *-3/-NONE- 
 proponent/NN of/IN ``/`` |    peaceful/NN->JJ     | evolution/NN ,/, ''/'' a/
olution/NN ,/, ''/'' a/DT |      catch/VB->NN      | phrase/NN 0/-NONE- */-NON
N 0/-NONE- */-NONE- to/TO |    describe/VBP->VB    | what/WP China/NNP believe
ntries/NNS */-NONE- to/TO |     seduce/NN->VB      | socialist/JJ nations/NNS 
 */-NONE- to/TO seduce/VB |    socialist/NN->JJ    | nations/NNS into/IN the/D
ations/NNS into/IN the/DT |   capitalist/NN->JJ    | sphere/NN *T*-2/-NONE- ./
The/DT tension/NN was/VBD |     evident/NN->JJ     | on/IN Wednesday/NNP eveni
ning/NN during/IN Mr./NNP |     Nixon/NN->NNP      | 's/POS final/JJ banquet/N
J banquet/NN toast/NN ,/, |    normally/NN->RB     | an/DT opportunity/NN for/
tunity/NN for/IN */-NONE- |    reciting/NN->VBG    | platitudes/NNS about/IN e
/IN */-NONE- reciting/VBG |   platitudes/NN->NNS   | about/IN eternal/JJ frien
G platitudes/NNS about/IN |     eternal/NN->JJ     | friendship/NN ./.
   Instead/RB ,/, Mr./NNP |     Nixon/NN->NNP      | reminded/VBD his/PRP$ hos
/RB ,/, Mr./NNP Nixon/NNP |    reminded/NN->VBD    | his/PRP$ host/NN ,/, Chin
/VBD his/PRP$ host/NN ,/, |    Chinese/NN->NNP     | President/NNP Yang/NNP Sh
Chinese/NNP President/NNP |      Yang/NN->NNP      | Shangkun/NNP ,/, that/IN 
NP President/NNP Yang/NNP |    Shangkun/NN->NNP    | ,/, that/IN Americans/NNP
 Shangkun/NNP ,/, that/IN |  Americans/NNS->NNPS   | have/VBP n't/RB forgiven/
 June/NNP 3-4/CD that/WDT |   *T*-241/NN->-NONE-   | killed/VBD hundreds/NNS ,
B thousands/NNS ,/, of/IN | demonstrators/NN->NNS  | ./.
J in/IN the/DT United/NNP |    States/NN->NNPS     | ,/, including/VBG many/JJ
fied/JJ ,/, ''/'' Mr./NNP |     Nixon/NN->NNP      | told/VBD Mr./NNP Yang/NNP
ixon/NNP told/VBD Mr./NNP |      Yang/NN->NNP      | ,/, who/WP *T*-242/-NONE-
./NNP Yang/NNP ,/, who/WP |   *T*-242/NN->-NONE-   | was/VBD directly/RB invol
*-2/-NONE- in/IN */-NONE- |    ordering/NN->VBG    | the/DT attack/NN *T*-1/-N
l/NNP through/IN June/NNP |    damaged/VBN->VBD    | the/DT respect/NN and/CC 
t/NN and/CC confidence/NN |     which/IN->WDT      | most/JJS Americans/NNPS p
nce/NN which/WDT most/JJS |  Americans/NNS->NNPS   | previously/RB had/VBD *T*
                   The/DT |    Chinese/NN->NNP     | responded/VBD in/IN an/DT
       The/DT Chinese/NNP |   responded/VBN->VBD   | in/IN an/DT equally/RB un
BD in/IN an/DT equally/RB |  undiplomatic/NN->JJ   | fashion/NN ./.
talks/NNS with/IN Mr./NNP |     Nixon/NN->NNP      | ,/, Chinese/JJ leaders/NN
/IN Mr./NNP Nixon/NNP ,/, |     Chinese/NN->JJ     | leaders/NNS expressed/VBD
/, Chinese/JJ leaders/NNS |   expressed/VBN->VBD   | no/DT regret/NN for/IN th
T regret/NN for/IN the/DT |    killings/NN->NNS    | ,/, and/CC even/RB sugges
N the/DT U.S./NNP was/VBD |   prominently/NN->RB   | involved/VBN *-1/-NONE- i
N *-1/-NONE- in/IN the/DT | demonstrations/NN->NNS | this/DT spring/NN ./.
 supreme/NN leader/NN ,/, |      Deng/NN->NNP      | Xiaoping/NNP ,/, told/VBD
NN leader/NN ,/, Deng/NNP |    Xiaoping/NN->NNP    | ,/, told/VBD Mr./NNP Nixo
/NNP ,/, told/VBD Mr./NNP |     Nixon/NN->NNP      | ,/, ``/`` */-NONE- Frankl
on/NNP ,/, ``/`` */-NONE- |     Frankly/NN->RB     | speaking/VBG ,/, the/DT U
``/`` */-NONE- Frankly/RB |    speaking/NN->VBG    | ,/, the/DT U.S./NNP was/V
/NNP was/VBD involved/VBN |    *-146/NN->-NONE-    | too/RB deeply/RB in/IN th
d/VBN *-146/-NONE- too/RB |     deeply/NN->RB      | in/IN the/DT turmoil/NN a
 the/DT turmoil/NN and/CC | counterrevolutionary/NN->JJ | rebellion/NN which/WDT *T
JJ rebellion/NN which/WDT |   *T*-243/NN->-NONE-   | occurred/VBD in/IN Beijin
 which/WDT *T*-243/-NONE- |    occurred/NN->VBD    | in/IN Beijing/NNP not/RB 
 unjust/JJ */-NONE- to/TO |     reprove/NN->VB     | China/NNP for/IN it/PRP .
espite/IN the/DT harsh/JJ |   exchanges/NN->NNS    | ,/, the/DT U.S./NNP and/C
N 0/-NONE- */-NONE- to/TO |      mend/NN->VB       | relations/NNS ,/, which/W
lations/NNS ,/, which/WDT |   *T*-244/NN->-NONE-   | have/VBP deteriorated/VBN
T *T*-244/-NONE- have/VBP |  deteriorated/NN->VBN  | into/IN what/WP Mr./NNP N
N into/IN what/WP Mr./NNP |     Nixon/NN->NNP      | referred/VBD to/TO *T*-2/
what/WP Mr./NNP Nixon/NNP |   referred/VBN->VBD    | to/TO *T*-2/-NONE- as/IN 
-NONE- as/IN ``/`` the/DT |    greatest/NN->JJS    | crisis/NN in/IN Chinese-A
atest/JJS crisis/NN in/IN | Chinese-American/NN->NNP | relations/NNS ''/'' since
China/NNP 17/CD years/NNS |       ago/RB->IN       | *T*-3/-NONE- ./.
NN toast/NN to/TO Mr./NNP |     Nixon/NN->NNP      | ,/, Mr./NNP Yang/NNP said
NNP Nixon/NNP ,/, Mr./NNP |      Yang/NN->NNP      | said/VBD 0/-NONE- the/DT 
                          |   Relations/NN->NNS    | between/IN China/NNP and/
une/NNP 7/CD ,/, when/WRB |     Chinese/NN->JJ     | dissident/NN Fang/NNP Liz
B Chinese/JJ dissident/NN |      Fang/NN->NNP      | Lizhi/NNP and/CC his/PRP$
/JJ dissident/NN Fang/NNP |     Lizhi/NN->NNP      | and/CC his/PRP$ wife/NN ,
d/CC his/PRP$ wife/NN ,/, |       Li/NN->NNP       | Shuxian/NNP ,/, took/VBD 
s/PRP$ wife/NN ,/, Li/NNP |    Shuxian/NN->NNP     | ,/, took/VBD refuge/NN in
/NN in/IN the/DT U.S./NNP |    Embassy/NN->NNP     | in/IN Beijing/NNP *T*-1/-
                          |     Shortly/NN->RB     | afterwards/RB ,/, Mr./NNP
               Shortly/RB |   afterwards/NN->RB    | ,/, Mr./NNP Bush/NNP impo
/VBD a/DT series/NN of/IN |   anti-China/NN->JJ    | sanctions/NNS ,/, includi
pension/NN of/IN most/JJS |   high-level/NN->JJ    | talks/NNS ,/, which/WDT *
IN most/JJS high-level/JJ |     talks/VBZ->NNS     | ,/, which/WDT *T*-1/-NONE
*-1/-NONE- could/MD be/VB |    codified/NN->VBN    | *-147/-NONE- in/IN U.S./N
uld/MD be/VB codified/VBN |    *-147/NN->-NONE-    | in/IN U.S./NNP congressio
                  Mr./NNP |     Nixon/NN->NNP      | is/VBZ traveling/VBG in/I
 Mr./NNP Nixon/NNP is/VBZ |   traveling/NN->VBG    | in/IN China/NNP as/IN a/D
C he/PRP has/VBZ made/VBN |      clear/JJ->RB      | that/IN he/PRP is/VBZ an/
at/IN he/PRP is/VBZ an/DT |   unofficial/NN->JJ    | envoy/NN for/IN the/DT Bu
                  Mr./NNP |     Nixon/NN->NNP      | met/VBD Mr./NNP Bush/NNP 
ecurity/NN adviser/NN ,/, |     Brent/NN->NNP      | Scowcroft/NNP ,/, before/
 adviser/NN ,/, Brent/NNP |   Scowcroft/NN->NNP    | ,/, before/IN *-1/-NONE- 
VBG to/TO China/NNP on/IN |    Saturday/NN->NNP    | ./.
lans/VBZ *-1/-NONE- to/TO |      brief/JJ->VB      | the/DT president/NN at/IN
e/DT week/NN ,/, U.S./NNP |    sources/NN->NNS     | said/VBD 0/-NONE- *T*-2/-
                  Mr./NNP |     Nixon/NN->NNP      | was/VBD *-1/-NONE- to/TO 
JJ member/NN of/IN the/DT |     Nixon/NN->NNP      | party/NN ,/, the/DT forme
DT former/JJ president/NN |    raised/VBN->VBD     | a/DT number/NN of/IN cont
S of/IN talks/NNS with/IN |    top-level/NN->JJ    | Chinese/JJ officials/NNS 
/NNS with/IN top-level/JJ |     Chinese/NN->JJ     | officials/NNS ./.
question/NN of/IN Mr./NNP |      Fang/NN->NNP      | ./.
                  Mr./NNP |     Nixon/NN->NNP      | also/RB proposed/VBD that
icipation/NN in/IN the/DT |   Fulbright/NN->NNP    | Program/NNP ,/, a/DT U.S.
ram/NNP ,/, a/DT U.S./NNP | government-funded/NN->JJ | academic/JJ exchange/NN .
                China/NNP |     pulled/NN->VBD     | out/IN of/IN the/DT progr
ders/NNS *-1/-NONE- to/TO |   acknowledge/NN->VB   | that/DT their/PRP$ nation
ONE- to/TO acknowledge/VB |      that/WDT->DT      | their/PRP$ nation/NN is/V
ld/NN community/NN and/CC |     welcome/NN->VB     | the/DT infusion/NN of/IN 
 the/DT infusion/NN of/IN |     outside/IN->JJ     | contacts/NNS and/CC ideas
usion/NN of/IN outside/JJ |    contacts/NN->NNS    | and/CC ideas/NNS ./.
                    ``/`` |     Ideas/NN->NNS      | are/VBP going/VBG over/IN
are/VBP going/VBG over/IN |    borders/NN->NNS     | ,/, and/CC there/EX 's/VB
/CC there/EX 's/VBZ no/DT |      SDI/NN->NNP       | ideological/JJ weapon/NN 
cal/JJ weapon/NN that/WDT |   *T*-245/NN->-NONE-   | can/MD shoot/VB them/PRP 
WDT *T*-245/-NONE- can/MD |      shoot/NN->VB      | them/PRP down/IN ,/, ''/'
 can/MD shoot/VB them/PRP |      down/RB->IN       | ,/, ''/'' he/PRP told/VBD
d/VBD a/DT group/NN of/IN |  Americans/NNS->NNPS   | *T*-1/-NONE- at/IN the/DT
NE- at/IN the/DT U.S./NNP |    Embassy/NN->NNP     | on/IN Wednesday/NNP ./.
/, of/IN China/NNP 's/POS |    yielding/VBG->NN    | on/IN key/JJ issues/NNS .
      But/CC in/IN one/CD |      minor/NN->JJ      | matter/NN ,/, Mr./NNP Nix
/JJ matter/NN ,/, Mr./NNP |     Nixon/NN->NNP      | appears/VBZ *-1/-NONE- to
 *-1/-NONE- to/TO have/VB |    gained/VBD->VBN     | a/DT concession/NN ./.
N a/DT meeting/NN with/IN |    Premier/NN->NNP     | Li/NNP Peng/NNP on/IN Mon
ng/NN with/IN Premier/NNP |       Li/NN->NNP       | Peng/NNP on/IN Monday/NNP
ith/IN Premier/NNP Li/NNP |      Peng/NN->NNP      | on/IN Monday/NNP ,/, Mr./
IN Monday/NNP ,/, Mr./NNP |     Nixon/NN->NNP      | said/VBD that/IN he/PRP h
P said/VBD that/IN he/PRP |     hoped/NN->VBD      | 0/-NONE- he/PRP would/MD 
E- he/PRP would/MD n't/RB |    encounter/NN->VB    | guards/NNS with/IN machin
ld/MD n't/RB encounter/VB |     guards/NN->NNS     | with/IN machine/NN guns/N
ds/NNS with/IN machine/NN |      guns/NN->NNS      | during/IN his/PRP$ visit/
/NN to/TO the/DT U.S./NNP |    Embassy/NN->NNP     | ./.
                          |      Sure/NN->RB       | enough/RB ,/, when/WRB he
gh/RB ,/, when/WRB he/PRP |    arrived/NN->VBD     | at/IN the/DT embassy/NN t
s/NNS later/JJ ,/, the/DT | machine-gun-toting/NN->JJ | guards/NNS were/VBD gone/
/DT machine-gun-toting/JJ |     guards/NN->NNS     | were/VBD gone/VBN --/: fo
              A/DT few/JJ |     blocks/NN->NNS     | away/RB ,/, at/IN the/DT 
S residence/NN ,/, the/DT |     guards/NN->NNS     | encircling/VBG the/DT com
/NN ,/, the/DT guards/NNS |   encircling/NN->VBG   | the/DT compound/NN also/R
mpound/NN also/RB had/VBD |   discarded/NN->VBN    | their/PRP$ Uzi-model/JJ a
 discarded/VBN their/PRP$ |    Uzi-model/NN->JJ    | arms/NNS for/IN the/DT fi
N their/PRP$ Uzi-model/JJ |      arms/NN->NNS      | for/IN the/DT first/JJ ti
            But/CC the/DT |     guards/NN->NNS     | there/RB retained/VBN the
 But/CC the/DT guards/NNS |      there/EX->RB      | retained/VBN their/PRP$ p
B retained/VBN their/PRP$ |    pistols/NN->NNS     | ,/, and/CC a/DT large/JJ 
ge/JJ contingent/NN of/IN |  plainclothes/NN->NNS  | police/NNS remained/VBD n
NN of/IN plainclothes/NNS |     police/NN->NNS     | remained/VBD nearby/RB in
S police/NNS remained/VBD |     nearby/NN->RB      | in/IN unmarked/JJ cars/NN
ained/VBD nearby/RB in/IN |    unmarked/NN->JJ     | cars/NNS ./.
          Moreover/RB ,/, |     police/NN->NNS     | and/CC soldiers/NNS conti
/RB ,/, police/NNS and/CC |    soldiers/NN->NNS    | continue/VBP *-1/-NONE- t
e/NNS and/CC soldiers/NNS |    continue/VB->VBP    | *-1/-NONE- to/TO harass/V
-1/-NONE- to/TO harass/VB |  Americans/NNS->NNPS   | ,/, who/WP *T*-246/-NONE-
Americans/NNPS ,/, who/WP |   *T*-246/NN->-NONE-   | have/VBP filed/VBN severa
/VBP filed/VBN several/JJ |    protests/NN->NNS    | with/IN the/DT Foreign/NN
Ministry/NNP in/IN the/DT |      past/JJ->NN       | week/NN ./.
 Several/JJ times/NNS ,/, |     Chinese/NN->JJ     | guards/NNS have/VBP point
 times/NNS ,/, Chinese/JJ |     guards/NN->NNS     | have/VBP pointed/VBN thei
se/JJ guards/NNS have/VBP |    pointed/VBD->VBN    | their/PRP$ automatic/JJ r
N their/PRP$ automatic/JJ |     rifles/NN->NNS     | at/IN young/JJ children/N
ildren/NNS of/IN U.S./NNP |   diplomats/NN->NNS    | and/CC clicked/VBD the/DT
/NNP diplomats/NNS and/CC |    clicked/NN->VBD     | the/DT trigger/NN ./.
                   The/DT |     rifles/NN->NNS     | were/VBD n't/RB loaded/VB
ifles/NNS were/VBD n't/RB |     loaded/NN->VBN     | *-1/-NONE- ./.
NN ``/`` Japan/NNP 's/POS |   Financial/NNP->JJ    | Firms/NNS Lure/VBP Scienc
n/NNP 's/POS Financial/JJ |     Firms/NN->NNS      | Lure/VBP Science/NN Gradu
OS Financial/JJ Firms/NNS |      Lure/NN->VBP      | Science/NN Graduates/NNS 
s/NNS Lure/VBP Science/NN |   Graduates/NN->NNS    | ''/'' states/VBZ ,/, ``/`
ce/NN Graduates/NNS ''/'' |    states/NNS->VBZ     | ,/, ``/`` Industrial/JJ c
'/'' states/VBZ ,/, ``/`` |   Industrial/NNP->JJ   | companies/NNS are/VBP acc
/JJ companies/NNS are/VBP |    accusing/NN->VBG    | financial/JJ institutions
ions/NNS of/IN *-1/-NONE- |  jeopardizing/NN->VBG  | Japan/NNP 's/POS economy/
ies/NNS should/MD know/VB |    better/RBR->JJR     | ./.
         They/PRP are/VBP |    barking/NN->VBG     | up/IN the/DT wrong/JJ tre
PRP *EXP*-1/-NONE- is/VBZ |    basically/NN->RB    | their/PRP$ fault/NN 0/-NO
NE- they/PRP ca/MD n't/RB |     attract/NN->VB     | new/JJ employees/NNS ./.
young/JJ people/NNS .../: |    caused/VBN->VBD     | the/DT problem/NN ./. ''/
    He/PRP is/VBZ just/RB |    passing/NN->VBG     | the/DT buck/NN to/TO youn
                  What/WP |   *T*-247/NN->-NONE-   | 's/VBZ wrong/JJ with/IN *
   What/WP *T*-247/-NONE- |      's/POS->VBZ       | wrong/JJ with/IN */-NONE-
                          |     Money/NNP->NN      | is/VBZ not/RB everything/
P*-1/-NONE- is/VBZ not/RB |    unethical/NN->JJ    | */-NONE- to/TO choose/VB 
ONE- to/TO choose/VB a/DT | higher-salaried/NN->JJ | job/NN ./.
                          |  Unfortunately/NN->RB  | ,/, Japanese/JJ manufactu
ve/VBP neither/DT good/JJ |    working/VBG->NN     | conditions/NNS nor/CC goo
                    I/PRP |      get/VB->VBP       | the/DT impression/NN that
ONE- */-NONE- working/VBG |     harder/NN->RBR     | for/IN less/JJR money/NN 
                    I/PRP |    visited/NN->VBD     | a/DT lot/NN of/IN major/J
 to/TO be/VB employed/VBN |    *-149/NN->-NONE-    | by/IN any/DT of/IN them/P
f/IN them/PRP recently/RB |      have/VB->VBP      | been/VBN spending/VBG a/D
ntly/RB have/VBP been/VBN |    spending/NN->VBG    | a/DT lot/NN of/IN money/N
/TO improve/VB their/PRP$ |     images/NN->NNS     | ,/, but/CC they/PRP shoul
J thing/NN is/VBZ real/JJ |     change/VB->NN      | ,/, not/RB */-NONE- chang
ge/NN ,/, not/RB */-NONE- |    changing/NN->VBG    | people/NNS 's/POS percept
ing/VBG people/NNS 's/POS |  perceptions/NN->NNS   | ./.
situation/NN :/: raise/VB |    salaries/NN->NNS    | higher/JJR than/IN those/
:/: raise/VB salaries/NNS |    higher/RBR->JJR     | than/IN those/DT of/IN fi
utions/NNS ;/: improve/VB |    working/VBG->NN     | conditions/NNS -LRB-/-LRB
fices/NNS and/CC more/JJR |   vacations/NN->NNS    | ,/, for/IN example/NN -RR
xample/NN -RRB-/-RRB- ;/: |     accept/NN->VB      | and/CC hire/VB more/JJR l
RRB- ;/: accept/VB and/CC |      hire/VBP->VB      | more/JJR labor/NN from/IN
more/JJR labor/NN from/IN |     outside/IN->JJ     | Japan/NNP ./.
                          |    Hiroshi/NN->NNP     | Asada/NNP
              Hiroshi/NNP |     Asada/NN->NNP      | 
e-one/NN article/NN ``/`` |    Barbara/NN->NNP     | Bush/NNP Earns/VBZ Even/R
`/`` Barbara/NNP Bush/NNP |     Earns/NN->VBZ      | Even/RB Higher/JJR Rating
ush/NNP Earns/VBZ Even/RB |     Higher/NN->JJR     | Ratings/NNS Than/IN the/D
ns/VBZ Even/RB Higher/JJR |    Ratings/NN->NNS     | Than/IN the/DT President/
RB Higher/JJR Ratings/NNS |      Than/NN->IN       | the/DT President/NNP ,/, 
PRP *EXP*-1/-NONE- is/VBZ |   regrettable/NN->JJ   | that/IN you/PRP must/MD c
J that/IN you/PRP must/MD |   continually/NN->RB   | define/VB blacks/NNS by/I
blacks/NNS by/IN our/PRP$ |   negatives/NN->NNS    | :/: ``/`` Among/IN libera
es/NNS :/: ``/`` Among/IN |    liberals/NN->NNS    | ,/, 60/CD %/NN have/VBP p
sitive/JJ views/NNS of/IN |     her/PRP$->PRP      | ,/, while/IN 50/CD %/NN a
P ,/, while/IN 50/CD %/NN |    approve/VB->VBP     | of/IN the/DT president/NN
reflect/VB the/DT fact/NN |      that/WDT->IN      | `/`` she/PRP speaks/VBZ a
t/NN that/IN `/`` she/PRP |     speaks/NN->VBZ     | a/DT more/JJR progressive
 speaks/VBZ a/DT more/JJR |   progressive/NN->JJ   | language/NN '/'' than/IN 
as/IN Columbia/NNP 's/POS |      Prof/NN->NNP      | ./. -LCB-/-LRB- Ethel/NNP
 Prof/NNP ./. -LCB-/-LRB- |     Ethel/NN->NNP      | -RCB-/-RRB- Klein/NNP put
RB- Ethel/NNP -RCB-/-RRB- |     Klein/NN->NNP      | puts/VBZ it/PRP ./.
NNP -RCB-/-RRB- Klein/NNP |      puts/NN->VBZ      | it/PRP ./.
                 Among/IN | professionals/NN->NNS  | ,/, 76/CD %/NN have/VBP a
 76/CD %/NN have/VBP a/DT |    favorable/NN->JJ    | opinion/NN of/IN her/PRP$
N to/TO 62/CD %/NN who/WP |   *T*-248/NN->-NONE-   | approve/VBP of/IN her/PRP
/NN who/WP *T*-248/-NONE- |    approve/VB->VBP     | of/IN her/PRP$ husband/NN
/IN a/DT quarter/NN of/IN |      black/NN->JJ      | voters/NNS disapprove/VBP
quarter/NN of/IN black/JJ |     voters/NN->NNS     | disapprove/VBP of/IN Mr./
of/IN black/JJ voters/NNS |   disapprove/NN->VBP   | of/IN Mr./NNP Bush/NNP 's
have/VBP a/DT negative/JJ |      view/VBP->NN      | of/IN his/PRP$ spouse/NN 
    The/DT statistics/NNS |     imply/NN->VBP      | that/IN three-quarters/NN
 statistics/NNS imply/VBP |      that/WDT->IN      | three-quarters/NNS of/IN 
ics/NNS imply/VBP that/IN | three-quarters/NN->NNS | of/IN blacks/NNS approve/
ters/NNS of/IN blacks/NNS |    approve/VB->VBP     | of/IN Mr./NNP Bush/NNP 's
/CD %/NN of/IN blacks/NNS |    approve/VB->VBP     | of/IN Mrs./NNP Bush/NNP .
 and/CC Mrs./NNP Bush/NNP |   distasteful/NN->JJ   | ,/, the/DT positive/JJ vi
JJ ,/, the/DT positive/JJ |      view/VBP->NN      | is/VBZ even/RB more/RBR n
JJ view/NN is/VBZ even/RB |     more/JJR->RBR      | newsworthy/JJ ./.
N is/VBZ even/RB more/RBR |   newsworthy/NN->JJ    | ./.
                          |      Such/JJ->PDT      | an/DT editorial/NN point/
itorial/NN point/NN of/IN |      view/VBP->NN      | perpetuates/VBZ an/DT ins
NN point/NN of/IN view/NN |  perpetuates/NN->VBZ   | an/DT insidious/JJ ,/, st
/NN perpetuates/VBZ an/DT |    insidious/NN->JJ    | ,/, stereotyped/JJ perspe
BZ an/DT insidious/JJ ,/, |   stereotyped/NN->JJ   | perspective/NN ./.
are/VBP we/PRP blacks/NNS |   continually/NN->RB   | defined/VBN *-1/-NONE- by
blacks/NNS continually/RB |    defined/NN->VBN     | *-1/-NONE- by/IN our/PRP$
                          |    Preston/NN->NNP     | G./NNP Foster/NNP Birming
ton/NNP G./NNP Foster/NNP |   Birmingham/NN->NNP   | ,/, Ala/NNP ./.
er/NNP Birmingham/NNP ,/, |      Ala/NN->NNP       | ./.
NNP Association/NNP of/IN |  Securities/NNP->NNPS  | Dealers/NNPS ,/, the/DT s
